battre;beat;beat;beaten
devenir;become;became;become
commencer;begin;began;begun
parier;bet;bet;bet
souffler;blow;blew;blown
casser;break;broke;broken
apporter;bring;brought;brought
construire;build;built;built
brûler;burn;burnt;burnt
éclater;burst;burst;burst
acheter;buy;bought;bought
attraper;catch;caught;caught
choisir;choose;chose;chosen
venir;come;came;come
coûter;cost;cost;cost
couper;cut;cut;cut
faire;do;did;done
dessiner;draw;drew;drawn
boire;drink;drank;drunk
conduire;drive;drove;driven
manger;eat;ate;eaten
tomber;fall;fell;fallen
nourrir;feed;fed;fed
sentir, éprouver;feel;felt;felt
combattre;fight;fought;fought
trouver;find;found;found
voler;fly;flew;flown
interdire;forbid;forbade;forbidden
oublier;forget;forgot;forgotten
obtenir;get;got;got
donner;give;gave;given
aller;go;went;gone
grandir;grow;grew;grown
avoir;have;had;had
entendre;hear;heard;heard
(se) cacher;hide;hid;hidden
frapper, atteindre;hit;hit;hit
tenir;hold;held;held
garder;keep;kept;kept
savoir, connaître;know;knew;known
laisser, quitter;leave;left;left
perdre;lose;lost;lost
faire, fabriquer;make;made;made
signifier;mean;meant;meant
(se) rencontrer;meet;met;met
payer;pay;paid;paid
mettre;put;put;put
lire;read;read;read
chevaucher;ride;rode;ridden
courir;run;ran;run
dire;say;said;said
voir;see;saw;seen
vendre;sell;sold;sold
envoyer;send;sent;sent
secouer;shake;shook;shaken
briller;shine;shone;shone
montrer;show;showed;shown
chanter;sing;sang;sung
dormir;sleep;slept;slept
sentir (odorat);smell;smelt;smelt
parler;speak;spoke;spoken
dépenser;spend;spent;spent
être debout;stand;stood;stood
voler, dérober;steal;stole;stolen
nager;swim;swam;swum
prendre;take;took;taken
enseigner;teach;taught;taught
déchirer;tear;tore;torn
dire, raconter;tell;told;told
penser;think;thought;thought
comprendre;understand;understood;understood
(se) réveiller;wake;woke;woken
porter (des vêtements);wear;wore;worn
gagner;win;won;won
écrire;write;wrote;written
être;be;was;been